Onda-Cinematica	69	87.85	0.014	43.12	0.3	0.05	2.5	4.5	10
Onda-Cinematica	70	109.35	0.004	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	71	63.58	0.007	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	72	74.98	0.013	39.20	0.3	0.05	2.5	4.5	10
Onda-Cinematica	73	78.43	0.009	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	74	62.30	0.013	50.40	0.2	0.1	2.5	4.5	15
Onda-Cinematica	75	45.57	0.008	48.72	0.3	0.05	2.5	5	10
Onda-Cinematica	76	84.16	0.009	5.60	0.4	0.05	2.5	5	5
Onda-Cinematica	77	59.40	0.009	39.20	0.3	0.05	2.5	5	10
Onda-Cinematica	78	99.38	0.003	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	79	66.54	0.007	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	80	82.89	0.008	39.20	0.3	0.05	2.5	5	10
Onda-Cinematica	81	108.57	0.013	36.40	0.3	0.05	2.5	4.5	10
Onda-Cinematica	82	66.53	0.005	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	83	73.49	0.005	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	84	62.46	0.008	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	85	45.44	0.010	47.60	0.3	0.05	2.5	4.5	10
Onda-Cinematica	86	49.01	0.006	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	87	72.70	0.003	48.72	0.3	0.05	2.5	5	10
Onda-Cinematica	88	57.94	0.003	49.28	0.3	0.05	2.5	5	10
Onda-Cinematica	89	87.56	0.006	45.36	0.3	0.05	2.5	5	10
Onda-Cinematica	90	76.62	0.011	45.92	0.3	0.05	2.5	4.5	10
Onda-Cinematica	91	85.52	0.005	45.92	0.3	0.05	2.5	5	10
Onda-Cinematica	92	96.04	0.003	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	93	78.38	0.008	43.12	0.3	0.05	2.5	5	10
Onda-Cinematica	94	105.52	0.010	44.80	0.3	0.05	2.5	4.5	10
Onda-Cinematica	95	100.04	0.018	47.60	0.3	0.05	2.5	4.5	10
Onda-Cinematica	96	52.83	0.021	39.20	0.3	0.05	1	4	10
Onda-Cinematica	97	61.06	0.010	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	98	55.65	0.004	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	99	66.36	0.004	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	100	70.00	0.007	48.72	0.3	0.05	2.5	5	10
Onda-Cinematica	101	85.97	0.008	49.28	0.3	0.05	2.5	5	10
Onda-Cinematica	102	94.09	0.001	45.36	0.3	0.05	2.5	5	10
Onda-Cinematica	103	71.06	0.008	45.92	0.3	0.05	2.5	5	10
Onda-Cinematica	104	77.79	0.009	45.92	0.3	0.05	2.5	5	10
Onda-Cinematica	105	57.66	0.003	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	106	65.72	0.014	43.12	0.3	0.05	2.5	4.5	10
Onda-Cinematica	107	156.29	0.007	44.80	0.3	0.05	2.5	5	10
Onda-Cinematica	108	80.77	0.009	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	109	59.41	0.006	39.20	0.3	0.05	2.5	5	10
Onda-Cinematica	110	48.70	0.009	42.00	0.3	0.05	2.5	5	10
Onda-Cinematica	111	43.61	0.003	47.60	0.3	0.05	2.5	5	10
Onda-Cinematica	112	82.96	0.011	47.60	0.3	0.05	2.5	4.5	10
Onda-Cinematica	113	67.79	0.007	48.72	0.3	0.05	2.5	5	10
Onda-Cinematica	114	66.14	0.008	49.28	0.3	0.05	2.5	5	10
