1	10.08	0	100	28	0	1
2	2.24	0	100	8	0	1
3	8.4	0	100	17	0	1
4	4.48	0	100	10	0	1
5	8.4	0	100	11	0	1
6	7.84	0	100	11	0	1
7	9.52	0	100	13	0	1
8	8.96	0	100	11	0	1
9	10.08	0	100	16	0	1
10	8.4	0	100	14	0	1
11	7.84	0	100	15	0	1
12	9.52	0	100	10	0	1
13	8.96	0	100	12	0	1
14	9.52	0	100	17	0	1
15	8.96	0	100	11	0	1
16	7.84	0	100	18	0	1
17	7.84	0	100	10	0	1
18	8.96	0	100	13	0	1
19	8.4	0	100	9	0	1
20	9.52	0	100	13	0	1
21	8.96	0	100	18	0	1
22	8.96	0	100	15	0	1
24	9.52	0	100	18	0	1
26	9.52	0	100	13	0	1
27	8.4	0	100	19	0	1
28	9.52	0	100	11	0	1
29	9.52	0	100	21	0	1
30	7.84	0	100	13	0	1
31	9.52	0	100	75	0	1
32	8.96	0	100	16	0	1
33	9.52	0	100	17	0	1
34	8.96	0	100	13	0	1
35	7.84	0	100	62	0	1
37	8.96	0	100	16	0	1
38	8.4	0	100	10	0	1
41	8.96	0	100	20	0	1
43	9.52	0	100	12	0	1
44	10.08	0	100	19	0	1
49	8.96	0	100	11	0	1
51	8.96	0	100	16	0	1
52	10.08	0	100	15	0	1
65	9.072	0	100	12	0	1
67	9.184	0	100	9	0	1
68	8.4	0	100	9	0	1
77	7.84	0	100	9	0	1
80	7.84	0	100	9	0	1
81	7.28	0	100	13	0	1
82	8.4	0	100	9	0	1
83	8.96	0	100	10	0	1
84	8.96	0	100	14	0	1
86	9.52	0	100	10	0	1
87	9.744	0	100	10	0	1
88	9.856	0	100	10	0	1
89	9.072	0	100	10	0	1
91	9.184	0	100	10	0	1
92	8.4	0	100	9	0	1
93	8.624	0	100	10	0	1
94	8.96	0	100	15	0	1
95	9.52	0	100	14	0	1
100	9.744	0	100	13	0	1
104	9.184	0	100	12	0	1
107	8.96	0	100	16	0	1
108	9.52	0	100	18	0	1
112	9.52	0	100	10	0	1
113	9.744	0	100	11	0	1
114	9.856	0	100	11	0	1
115	9.072	0	100	10	0	1
117	9.184	0	100	10	0	1
118	8.4	0	100	9	0	1
119	8.624	0	100	16	0	1
120	8.96	0	100	9	0	1
126	9.744	0	100	15	0	1
127	9.856	0	100	12	0	1
129	9.184	0	100	10	0	1
130	9.184	0	100	22	0	1
131	8.4	0	100	36	0	1
132	8.624	0	100	19	0	1
133	8.96	0	100	14	0	1
134	9.52	0	100	12	0	1
135	7.84	0	100	13	0	1
137	9.52	0	100	13	0	1
138	7.84	0	100	16	0	1
139	3.36	0	100	8	0	1
140	8.4	0	100	30	0	1
141	9.52	0	100	15	0	1
142	8.96	0	100	18	0	1
143	10.08	0	100	18	0	1
144	10.08	0	100	12	0	1
147	7.84	0	100	15	0	1
148	8.96	0	100	13	0	1
149	10.64	0	100	18	0	1
151	5.6	0	100	9	0	1
152	8.96	0	100	11	0	1
153	7.84	0	100	14	0	1
154	8.4	0	100	9	0	1
155	3.36	0	100	7	0	1
156	9.52	0	100	15	0	1
157	10.08	0	100	14	0	1
158	10.08	0	100	17	0	1
159	8.96	0	100	16	0	1
160	8.96	0	100	16	0	1
161	8.96	0	100	17	0	1
162	9.52	0	100	17	0	1
163	10.08	0	100	19	0	1
164	9.52	0	100	11	0	1
165	8.96	0	100	10	0	1
166	9.52	0	100	15	0	1
167	10.08	0	100	22	0	1
168	9.744	0	100	14	0	1
169	9.52	0	100	36	0	1
170	9.296	0	100	30	0	1
171	9.184	0	100	13	0	1
172	10.08	0	100	14	0	1
173	7.84	0	100	20	0	1
174	8.4	0	100	23	0	1
175	8.064	0	100	19	0	1
176	8.96	0	100	13	0	1
177	8.624	0	100	11	0	1
178	8.736	0	100	16	0	1
179	8.96	0	100	12	0	1
181	5.6	0	100	12	0	1
182	10.08	0	100	16	0	1
183	10.08	0	100	14	0	1
184	8.96	0	100	28	0	1
185	8.96	0	100	22	0	1
186	8.96	0	100	23	0	1
187	9.52	0	100	22	0	1
188	10.08	0	100	25	0	1
189	9.52	0	100	22	0	1
190	8.96	0	100	15	0	1
191	9.52	0	100	17	0	1
192	10.08	0	100	20	0	1
193	9.744	0	100	18	0	1
194	9.52	0	100	12	0	1
195	9.296	0	100	18	0	1
196	9.184	0	100	11	0	1
197	7.84	0	100	10	0	1
198	10.08	0	100	10	0	1
200	8.4	0	100	16	0	1
202	7.84	0	100	10	0	1
203	8.4	0	100	15	0	1
205	10.08	0	100	27	0	1
207	8.736	0	100	14	0	1
209	9.52	0	100	10	0	1
